Video ID,Video Title,Author,Comment,Timestamp,Timestamp Link,Date Added
lnh1RTyvFPk,Delight in Solitude | Phra Cathal | Sangha UK #355 | 05.24.26,@c7eye,Dhammarato then talks about the log in the bog. 38:00 . Give that a listen . This is just a great talk . 🙏🙏🙏,38:00,https://youtu.be/lnh1RTyvFPk?t=2280,2026-05-26
lnh1RTyvFPk,Delight in Solitude | Phra Cathal | Sangha UK #355 | 05.24.26,@christinavolpicelli,12:34 leaving the house on fire is an interesting analogy,12:34,https://youtu.be/lnh1RTyvFPk?t=754,2026-05-26
HUhGMtv4_ls,Free Will and Conditionality | Sangha UK #353 | 05.010.26,@issac7787,40:30,40:30,https://youtu.be/HUhGMtv4_ls?t=2430,2026-05-26
-YLIWom_ogw,Guarding the Mind and Not Letting Mara In | Sangha UK #345 | 03.15.26,@christinavolpicelli,"“Can deal with people’s bs happily, walk away, or third option let them get to you 52:41",52:41,https://youtu.be/-YLIWom_ogw?t=3161,2026-05-26
-YLIWom_ogw,Guarding the Mind and Not Letting Mara In | Sangha UK #345 | 03.15.26,@christinavolpicelli,Illegitimi non carborundum! 53:10,53:10,https://youtu.be/-YLIWom_ogw?t=3190,2026-05-26
BlvAuPwkuNM,"Guilt, Remorse & Wholesome Change | Alexander H | Sangha UK #341 | 02.15.26",@c7eye,54:00 ish the unwholesome state of mind will always feed on something …,54:00,https://youtu.be/BlvAuPwkuNM?t=3240,2026-05-26
cLn4J8wuhi8,What It Is Like For The Mind To Be Noble | Sangha US #205 | 02.07.26,@issac7787,"46:00 Not looking for deep experience, Westerner confusing deep meditation as sign of Stream-entry. Which is not at all the case",46:00,https://youtu.be/cLn4J8wuhi8?t=2760,2026-05-26
omyeEFjg_fY,Striving Is Not The Practice - MN 101: Devadaha Sutta | Sangha UK #336 | 01.11.26,@issac7787,19:30 Cannot Dukkha your way out of Dukkha,19:30,https://youtu.be/omyeEFjg_fY?t=1170,2026-05-26
za3nbUi-Xds,Right Livelihood | Sangha US #199 | 12.27.25,@Landulph,1:01:48 burnout only happens to people who are on fire for a long time👍,1:01:48,https://youtu.be/za3nbUi-Xds?t=3708,2026-05-26
6BFqIVJcgUA,The Direct Path | Sangha US #197 | 12.13.25,@zhatar4214,53:00 Guided meditation,53:00,https://youtu.be/6BFqIVJcgUA?t=3180,2026-05-26
wbCJazqhzPc,Boredom and Restlessness | Sangha UK #328 | 11.16.25,@issac7787,"3:00 onwards talking about difference of dog and cat catching mouse
4:10 not welcoming hindrances",3:00,https://youtu.be/wbCJazqhzPc?t=180,2026-05-26
wbCJazqhzPc,Boredom and Restlessness | Sangha UK #328 | 11.16.25,@issac7787,"3:00 onwards talking about difference of dog and cat catching mouse
4:10 not welcoming hindrances",4:10,https://youtu.be/wbCJazqhzPc?t=250,2026-05-26
hd5G3jks9kk,Begin to Float | Sangha US #182 | 08.30.25,@Landulph,"45:53 ""The practice of Anapanasati is the practice of enjoying the practice.""",45:53,https://youtu.be/hd5G3jks9kk?t=2753,2026-05-26
Y1bmFofpoAs,"I am not ""Me"" | Sangha UK #315 | 08.03.25",@MountainDharma,1:11:00 very very accurate and unspoken truth 🤫,1:11:00,https://youtu.be/Y1bmFofpoAs?t=4260,2026-05-26
O71z4oIyNv0,"The Three Characteristics, Nurturing and Walking Meditation | Sangha US #175 | 07.12.2025",@Landulph,23:45 Walking meditation,23:45,https://youtu.be/O71z4oIyNv0?t=1425,2026-05-26
yHKvGhMJiyg,Sexuality and the Highest Good | US Sangha #174 | 07.05.2025,@MountainDharma,"1:05:50 Dhammarato drops some bars:

Let’s drop these rules
Let’s drop the bar
Let’s just be ok
the way things are",1:05:50,https://youtu.be/yHKvGhMJiyg?t=3950,2026-05-26
hx9caCHaMd8,The Hinderance of Doubt | Sangha US #172 | 06.21.2025,@issac7787,24:00 Personality of falling off the bike,24:00,https://youtu.be/hx9caCHaMd8?t=1440,2026-05-26
hx9caCHaMd8,The Hinderance of Doubt | Sangha US #172 | 06.21.2025,@issac7787,"37:00 ""Pulling Einstein out of the grave'' LOL",37:00,https://youtu.be/hx9caCHaMd8?t=2220,2026-05-26
gdplpxg7wr8,Gladdening the Mind and Magical Thinking | US Sangha #170 | 05.31.2025,@issac7787,30:00,30:00,https://youtu.be/gdplpxg7wr8?t=1800,2026-05-26
gdplpxg7wr8,Gladdening the Mind and Magical Thinking | US Sangha #170 | 05.31.2025,@ericglover4195,33:30,33:30,https://youtu.be/gdplpxg7wr8?t=2010,2026-05-26
cesti4126wc,Happiness That Comes From Having No Hunger | Sangha UK #304 | 05.18.2025,@will_chamberlain,20:00 - around 40 or so,20:00,https://youtu.be/cesti4126wc?t=1200,2026-05-26
buoA72ETRrI,Work and Play | Sangha US #167 | 05.10.25,@issac7787,"15:50 secondary thought of ""Not Good Enough""",15:50,https://youtu.be/buoA72ETRrI?t=950,2026-05-26
HEf4sWR40so,Not Liking is Delusional | The Sangha US #156 | 02.22.25,@issac7787,19:30 dwelling on what's wrong instead of dwelling on what's not there.,19:30,https://youtu.be/HEf4sWR40so?t=1170,2026-05-26
XdD24FLLtg4,How To Do Therapy | EC #1 | 01.08.25,@issac7787,29:00,29:00,https://youtu.be/XdD24FLLtg4?t=1740,2026-05-26
0UPdFuVe00s,Be Here Now | Ivan #15 | 12.16.24,@issac7787,19:00 Mindlessly struck a key,19:00,https://youtu.be/0UPdFuVe00s?t=1140,2026-05-26
2Kh_gBSLbi4,Freedom From Fear Through Wisdom | The Sangha US #146 | 12.14.24,@issac7787,10:00,10:00,https://youtu.be/2Kh_gBSLbi4?t=600,2026-05-26
2Kh_gBSLbi4,Freedom From Fear Through Wisdom | The Sangha US #146 | 12.14.24,@whitenozze,40:28,40:28,https://youtu.be/2Kh_gBSLbi4?t=2428,2026-05-26
zW5Ji0RQrrs,Anxiety & Fear | The Sangha US #144 | 11.30.24,@issac7787,33:00  religion,33:00,https://youtu.be/zW5Ji0RQrrs?t=1980,2026-05-26
pqMtlHTEeS0,Sleeping Well | The Sangha UK #270 | 11.24.24,@Landulph,"Bonus Highlight: 20:39 Immediate results, right noble effort as a kind of 'cheat code' for life",20:39,https://youtu.be/pqMtlHTEeS0?t=1239,2026-05-26
Tm_6-uaMG-s,Ten Fetter Model | The Sangha UK #268 | 11.17.24,@Landulph,Extra: On the late textual sources for the Arupa Fetters 7:46 and 1:20:39,7:46,https://youtu.be/Tm_6-uaMG-s?t=466,2026-05-26
Tm_6-uaMG-s,Ten Fetter Model | The Sangha UK #268 | 11.17.24,@Landulph,Extra: On the late textual sources for the Arupa Fetters 7:46 and 1:20:39,1:20:39,https://youtu.be/Tm_6-uaMG-s?t=4839,2026-05-26
LmOAPXUBBjc,Fear and Dread | The Sangha US #139 | 10.26.24,@issac7787,31:00,31:00,https://youtu.be/LmOAPXUBBjc?t=1860,2026-05-26
Bd8UeMZUUWA,Balance Between Seclusion and Sangha | Phra Cathal #9 | 10.01.24,@issac7787,8:50,8:50,https://youtu.be/Bd8UeMZUUWA?t=530,2026-05-26
H9_gbrbFdkw,Spiritual Friendship | The Sangha US #133 | 09.14.24,@issac7787,30:30 I triedddddd hahaha,30:30,https://youtu.be/H9_gbrbFdkw?t=1830,2026-05-26
ypqQtzYPRus,Boredom and Impatience | Dhamma Dasa | The Sangha UK #249 | 09.12.24,@issac7787,25:00,25:00,https://youtu.be/ypqQtzYPRus?t=1500,2026-05-26
vYLTbpHZTOk,Can Be Happy NOW! | Yhunjure #1 | 09.18.24,@basketballTaco,"I love the little realization at 50:37. Just a simple, genuine giggle but it means a lot. That much is worth all the back and forth and pointing at what's right in front of us. That little hit of reality, that moment of 'Wait a second, I'm sitting in front of my computer talking to Dhammarato. I'm NOT doing the thing I hate, but here I am hating it for the past 50 minutes! Ha!'",50:37,https://youtu.be/vYLTbpHZTOk?t=3037,2026-05-26
xSQw6ZMNUQA,Dark Night of the Soul? You Can Change That | The Sangha US #132 | 09.07.24,@carlmikaelmusic,Really wanted to hear what Scott wanted to say at 25:15,25:15,https://youtu.be/xSQw6ZMNUQA?t=1515,2026-05-26
Nu1T93aJlSY,Dying Before You Die | Dhamma Friends Discord #8 | 08.06.24,@Landulph,Extra: 1:27:25 Can I be loved?,1:27:25,https://youtu.be/Nu1T93aJlSY?t=5245,2026-05-26
YSvz4mf5uA8,Remember to Have Wholesome Thoughts While Feeding the Dog | Anjuna #5 | 09.03.24,@issac7787,4:30,4:30,https://youtu.be/YSvz4mf5uA8?t=270,2026-05-26
YSvz4mf5uA8,Remember to Have Wholesome Thoughts While Feeding the Dog | Anjuna #5 | 09.03.24,@issac7787,16:50,16:50,https://youtu.be/YSvz4mf5uA8?t=1010,2026-05-26
kPyh999pLKU,Investigating | Shamil #2 | 09.02.24,@issac7787,9:30,9:30,https://youtu.be/kPyh999pLKU?t=570,2026-05-26
kPyh999pLKU,Investigating | Shamil #2 | 09.02.24,@issac7787,17:50,17:50,https://youtu.be/kPyh999pLKU?t=1070,2026-05-26
S6unYBd0K_k,Pay Attention To The Sensations | The Sangha US #126 | 7.27.24,@will_chamberlain,What was the term mentioned at 1:14?,1:14,https://youtu.be/S6unYBd0K_k?t=74,2026-05-26
Bq_paYV72l0,Dependent Origination & Dukkha Nirodha | Dhamma Friends Discord #5 | 07.15.24,@issac7787,15:40,15:40,https://youtu.be/Bq_paYV72l0?t=940,2026-05-26
Bq_paYV72l0,Dependent Origination & Dukkha Nirodha | Dhamma Friends Discord #5 | 07.15.24,@issac7787,1:07:09,1:07:09,https://youtu.be/Bq_paYV72l0?t=4029,2026-05-26
Bq_paYV72l0,Dependent Origination & Dukkha Nirodha | Dhamma Friends Discord #5 | 07.15.24,@issac7787,40:00,40:00,https://youtu.be/Bq_paYV72l0?t=2400,2026-05-26
X2feQP5iB6U,Hot Dog! Now I'm Okay! | The Sangha UK #232 | 07.14.24,@issac7787,14:00,14:00,https://youtu.be/X2feQP5iB6U?t=840,2026-05-26
X2feQP5iB6U,Hot Dog! Now I'm Okay! | The Sangha UK #232 | 07.14.24,@issac7787,18:00 adult choo choo train,18:00,https://youtu.be/X2feQP5iB6U?t=1080,2026-05-26
X2feQP5iB6U,Hot Dog! Now I'm Okay! | The Sangha UK #232 | 07.14.24,@issac7787,34:00 HOT DOG have mindfulness right now,34:00,https://youtu.be/X2feQP5iB6U?t=2040,2026-05-26
S8GQPwfBDBM,Can You Be Okay With A Messy Room? | Dhamma Dasa | The Sangha UK #231 | 07.10.24,@issac7787,"14:30 you don't need craving, craving needs you",14:30,https://youtu.be/S8GQPwfBDBM?t=870,2026-05-26
S8GQPwfBDBM,Can You Be Okay With A Messy Room? | Dhamma Dasa | The Sangha UK #231 | 07.10.24,@issac7787,12:30 dissatisfaction has no purpose,12:30,https://youtu.be/S8GQPwfBDBM?t=750,2026-05-26
